price,size,district,year,dataset,rooms
841.8,36.6,Friedrichshain,2019,historical,1.0
680.0,14.0,Tiergarten,2019,historical,1.0
1298.0,118.0,Tiergarten,2019,historical,4.0
816.0,68.0,Köpenick,2019,historical,2.0
465.23,66.39,Hellersdorf,2019,historical,3.0
1644.0,72.64,Friedrichshain,2019,historical,2.0
1470.03,77.37,Friedrichshain,2019,historical,3.0
2100.0,114.0,Charlottenburg,2019,historical,3.0
773.49,85.44,Marzahn,2019,historical,4.0
1514.0,94.65,Tiergarten,2019,historical,3.0
780.0,57.75,Tiergarten,2019,historical,2.0
663.0,70.29,Baumschulenweg_Treptow,2019,historical,2.0
749.0,74.49,Karow_Weißensee,2019,historical,3.0
710.0,61.0,Spandau,2019,historical,2.0
1333.0,98.45,Prenzlauer_Berg_Prenzlauer_Berg,2019,historical,3.0
571.27,67.72,Britz_Neukölln,2019,historical,3.0
320.0,28.0,Spandau,2019,historical,1.0
721.66,56.16,Kreuzberg,2019,historical,2.0
2902.46,131.93,Mitte,2019,historical,5.0
564.83,50.58,Tegel_Reinickendorf,2019,historical,2.0
650.0,41.21,Reinickendorf,2019,historical,1.0
399.0,41.0,Friedrichshagen_Köpenick,2019,historical,1.0
